fight_id,fighter_id,knockdowns,sig_str_landed,sig_str_att,total_str_landed,total_str_att,takedowns_landed,takedowns_att,sub_att,reversals,control_time,sig_head_landed,sig_head_att,sig_body_landed,sig_body_att,sig_leg_landed,sig_leg_att,sig_distance_landed,sig_distance_att,sig_clinch_landed,sig_clinch_att,sig_ground_landed,sig_ground_att
4918b7e3600f67a1,68c6cd5287b473a7,0,2,11,6,15,0,3,0,0,0:00,1,10,0,0,1,1,2,11,0,0,0,0
59e653313c871c3f,69b69c0178c4004d,0,21,31,26,36,0,0,2,0,0:23,9,18,8,8,4,5,4,10,17,21,0,0
59e653313c871c3f,b51841e7c594090d,0,12,20,42,53,2,5,0,0,3:12,7,14,5,6,0,0,2,4,8,12,2,4
539eff1fe2fb39ba,98b80a717b9bda17,0,20,70,21,71,1,1,0,0,0:03,18,66,2,3,0,1,19,69,1,1,0,0
539eff1fe2fb39ba,46e2ca71fd5089cb,0,31,61,34,64,0,0,0,0,0:00,18,43,3,5,10,13,26,51,5,10,0,0
f27bf6f21410547f,7e69a4b0961aa555,0,33,107,33,107,0,0,0,0,0:03,22,91,4,8,7,8,33,106,0,0,0,1
f27bf6f21410547f,55a7b2d4e54ffac9,0,16,57,16,57,0,0,0,0,0:00,7,48,5,5,4,4,16,57,0,0,0,0
8add23232cdb36ee,658c3465581ae46b,0,6,13,6,13,0,0,0,0,0:40,1,6,1,2,4,5,6,13,0,0,0,0
8add23232cdb36ee,dd8aec6de7035943,0,0,10,0,10,0,1,0,0,0:38,0,8,0,2,0,0,0,10,0,0,0,0
cb7cfa8b9900878f,1ccf4e7caff270df,0,18,36,21,40,2,2,0,0,1:43,9,26,2,2,7,8,8,21,2,4,8,11
cb7cfa8b9900878f,d897897060f10a3a,0,10,21,10,21,0,0,0,0,0:01,2,13,7,7,1,1,10,21,0,0,0,0
396214fd188c2549,140745cbbcb023ac,1,23,29,39,46,1,1,0,0,2:05,10,15,8,9,5,5,12,16,6,7,5,6
396214fd188c2549,21b8a0f5c231096f,0,10,24,14,29,3,5,0,0,1:43,9,23,0,0,1,1,4,15,3,3,3,6
dd5f7a14f5782f79,8ddf9c51c5fdea75,0,8,15,49,65,2,2,0,0,4:27,8,15,0,0,0,0,0,1,0,0,8,14
dd5f7a14f5782f79,8d26912cd2aeb366,0,0,8,0,8,0,0,0,0,0:00,0,8,0,0,0,0,0,6,0,2,0,0
591e7797363a6c89,4130a743d9d22163,0,1,11,1,11,0,0,0,0,0:00,0,9,0,1,1,1,1,11,0,0,0,0
591e7797363a6c89,3c241737a6069b9f,0,17,32,35,51,2,2,1,0,3:41,12,27,5,5,0,0,12,26,0,0,5,6
e90dd017386025c4,b7d524c77c27389b,0,17,40,22,45,0,0,0,0,0:02,8,29,9,11,0,0,16,38,1,2,0,0
e90dd017386025c4,91acd6910b802a9e,0,25,59,31,65,0,0,0,0,0:00,8,40,5,6,12,13,23,54,2,5,0,0
20b84b2cbfb92dc7,28f3c2258a1d8874,0,18,36,41,61,5,7,0,0,4:10,14,32,2,2,2,2,2,3,2,2,14,31
20b84b2cbfb92dc7,eae4aec1a5a8ff01,0,0,1,15,16,0,0,0,0,0:00,0,1,0,0,0,0,0,1,0,0,0,0
e9658a79cfaafbb1,8b69839f3555a67b,1,9,23,10,24,0,1,2,0,0:32,4,15,4,7,1,1,4,14,4,8,1,1
e9658a79cfaafbb1,8fd1f27e86661ede,0,7,17,12,22,1,1,0,0,2:16,1,10,1,1,5,6,3,12,3,3,1,2
4da34f2980b5c58d,f59f1d3a2ff13edd,0,22,30,59,67,0,1,0,1,3:07,22,30,0,0,0,0,0,0,0,0,22,30
4da34f2980b5c58d,3795fca327cbcf23,0,3,5,9,11,0,0,0,0,0:09,2,4,0,0,1,1,2,4,0,0,1,1
5a3b530c73106c5c,679a9054e2815943,0,14,22,16,24,1,1,0,0,0:39,11,19,1,1,2,2,5,8,2,5,7,9
